REPORTE DE TOKENS
--------------------------------------------------
Token: RESERVADA       | Lexema: main            | Fila:   1 | Col:   1
Token: OP_ARITMETICO   | Lexema: *               | Fila:  15 | Col:  20
Token: ENTERO          | Lexema: 4               | Fila:  15 | Col:  22
Token: SIMBOLO         | Lexema: ;               | Fila:  15 | Col:  23
Token: ID              | Lexema: y               | Fila:  16 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  16 | Col:   7
Token: ENTERO          | Lexema: 14              | Fila:  16 | Col:   9
Token: SIMBOLO         | Lexema: ;               | Fila:  16 | Col:  11
Token: RESERVADA       | Lexema: if              | Fila:  18 | Col:   5
Token: ENTERO          | Lexema: 2               | Fila:  18 | Col:   8
Token: OP_RELACIONAL   | Lexema: >               | Fila:  18 | Col:  10
Token: ENTERO          | Lexema: 3               | Fila:  18 | Col:  12
Token: ID              | Lexema: then            | Fila:  18 | Col:  14
Token: ID              | Lexema: y               | Fila:  19 | Col:   9
Token: ASIGNACION      | Lexema: =               | Fila:  19 | Col:  11
Token: ID              | Lexema: a               | Fila:  19 | Col:  13
Token: OP_ARITMETICO   | Lexema: +               | Fila:  19 | Col:  15
Token: ENTERO          | Lexema: 3               | Fila:  19 | Col:  17
Token: SIMBOLO         | Lexema: ;               | Fila:  19 | Col:  18
Token: RESERVADA       | Lexema: else            | Fila:  20 | Col:   5
Token: RESERVADA       | Lexema: if              | Fila:  21 | Col:   9
Token: ENTERO          | Lexema: 4               | Fila:  21 | Col:  12
Token: OP_RELACIONAL   | Lexema: >               | Fila:  21 | Col:  14
Token: ENTERO          | Lexema: 2               | Fila:  21 | Col:  16
Token: ID              | Lexema: then            | Fila:  21 | Col:  18
Token: ID              | Lexema: b               | Fila:  22 | Col:  13
Token: ASIGNACION      | Lexema: =               | Fila:  22 | Col:  15
Token: REAL            | Lexema: 3.2             | Fila:  22 | Col:  17
Token: SIMBOLO         | Lexema: ;               | Fila:  22 | Col:  20
Token: RESERVADA       | Lexema: else            | Fila:  23 | Col:   9
Token: ID              | Lexema: b               | Fila:  24 | Col:  13
Token: ASIGNACION      | Lexema: =               | Fila:  24 | Col:  15
Token: REAL            | Lexema: 5.0             | Fila:  24 | Col:  17
Token: SIMBOLO         | Lexema: ;               | Fila:  24 | Col:  20
Token: RESERVADA       | Lexema: end             | Fila:  25 | Col:   9
Token: ID              | Lexema: y               | Fila:  26 | Col:   9
Token: ASIGNACION      | Lexema: =               | Fila:  26 | Col:  11
Token: ID              | Lexema: y               | Fila:  26 | Col:  13
Token: OP_ARITMETICO   | Lexema: +               | Fila:  26 | Col:  15
Token: ENTERO          | Lexema: 1               | Fila:  26 | Col:  17
Token: SIMBOLO         | Lexema: ;               | Fila:  26 | Col:  18
Token: RESERVADA       | Lexema: end             | Fila:  27 | Col:   5
Token: ID              | Lexema: a               | Fila:  29 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  29 | Col:   7
Token: ID              | Lexema: a               | Fila:  29 | Col:   9
Token: OP_ARITMETICO   | Lexema: +               | Fila:  29 | Col:  11
Token: ENTERO          | Lexema: 1               | Fila:  29 | Col:  13
Token: SIMBOLO         | Lexema: ;               | Fila:  29 | Col:  14
Token: ID              | Lexema: c               | Fila:  30 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  30 | Col:   7
Token: ID              | Lexema: c               | Fila:  30 | Col:   9
Token: OP_ARITMETICO   | Lexema: -               | Fila:  30 | Col:  11
Token: ENTERO          | Lexema: 1               | Fila:  30 | Col:  13
Token: SIMBOLO         | Lexema: ;               | Fila:  30 | Col:  14
Token: ID              | Lexema: x               | Fila:  31 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  31 | Col:   7
Token: ENTERO          | Lexema: 3               | Fila:  31 | Col:   9
Token: OP_ARITMETICO   | Lexema: +               | Fila:  31 | Col:  11
Token: ENTERO          | Lexema: 4               | Fila:  31 | Col:  13
Token: SIMBOLO         | Lexema: ;               | Fila:  31 | Col:  14
Token: RESERVADA       | Lexema: do              | Fila:  33 | Col:   5
Token: SIMBOLO         | Lexema: {               | Fila:  33 | Col:   8
Token: ID              | Lexema: y               | Fila:  34 | Col:   9
Token: ASIGNACION      | Lexema: =               | Fila:  34 | Col:  11
Token: SIMBOLO         | Lexema: (               | Fila:  34 | Col:  13
Token: ID              | Lexema: y               | Fila:  34 | Col:  14
Token: OP_ARITMETICO   | Lexema: +               | Fila:  34 | Col:  16
Token: ENTERO          | Lexema: 1               | Fila:  34 | Col:  18
Token: SIMBOLO         | Lexema: )               | Fila:  34 | Col:  19
Token: OP_ARITMETICO   | Lexema: *               | Fila:  34 | Col:  21
Token: ENTERO          | Lexema: 2               | Fila:  34 | Col:  23
Token: OP_ARITMETICO   | Lexema: +               | Fila:  34 | Col:  25
Token: ENTERO          | Lexema: 1               | Fila:  34 | Col:  27
Token: SIMBOLO         | Lexema: ;               | Fila:  34 | Col:  28
Token: SIMBOLO         | Lexema: }               | Fila:  35 | Col:   5
Token: RESERVADA       | Lexema: while           | Fila:  35 | Col:   7
Token: ID              | Lexema: x               | Fila:  35 | Col:  13
Token: OP_RELACIONAL   | Lexema: >               | Fila:  35 | Col:  15
Token: ENTERO          | Lexema: 7               | Fila:  35 | Col:  17
Token: SIMBOLO         | Lexema: ;               | Fila:  35 | Col:  19
Token: RESERVADA       | Lexema: while           | Fila:  37 | Col:   5
Token: ID              | Lexema: x               | Fila:  37 | Col:  11
Token: OP_RELACIONAL   | Lexema: >               | Fila:  37 | Col:  13
Token: ENTERO          | Lexema: 7               | Fila:  37 | Col:  15
Token: SIMBOLO         | Lexema: {               | Fila:  37 | Col:  17
Token: ID              | Lexema: x               | Fila:  38 | Col:   9
Token: ASIGNACION      | Lexema: =               | Fila:  38 | Col:  11
Token: ENTERO          | Lexema: 6               | Fila:  38 | Col:  13
Token: OP_ARITMETICO   | Lexema: +               | Fila:  38 | Col:  15
Token: ENTERO          | Lexema: 8               | Fila:  38 | Col:  17
Token: OP_ARITMETICO   | Lexema: /               | Fila:  38 | Col:  19
Token: ENTERO          | Lexema: 9               | Fila:  38 | Col:  21
Token: OP_ARITMETICO   | Lexema: *               | Fila:  38 | Col:  23
Token: ENTERO          | Lexema: 8               | Fila:  38 | Col:  25
Token: OP_ARITMETICO   | Lexema: /               | Fila:  38 | Col:  27
Token: ENTERO          | Lexema: 3               | Fila:  38 | Col:  29
Token: SIMBOLO         | Lexema: ;               | Fila:  38 | Col:  30
Token: RESERVADA       | Lexema: cin             | Fila:  39 | Col:   9
Token: OP_RELACIONAL   | Lexema: >               | Fila:  39 | Col:  13
Token: OP_RELACIONAL   | Lexema: >               | Fila:  39 | Col:  14
Token: ID              | Lexema: x               | Fila:  39 | Col:  16
Token: SIMBOLO         | Lexema: ;               | Fila:  39 | Col:  17
Token: ID              | Lexema: mas             | Fila:  40 | Col:   9
Token: ASIGNACION      | Lexema: =               | Fila:  40 | Col:  13
Token: ENTERO          | Lexema: 36              | Fila:  40 | Col:  15
Token: OP_ARITMETICO   | Lexema: /               | Fila:  40 | Col:  18
Token: ENTERO          | Lexema: 7               | Fila:  40 | Col:  20
Token: SIMBOLO         | Lexema: ;               | Fila:  40 | Col:  21
Token: SIMBOLO         | Lexema: }               | Fila:  41 | Col:   5
Token: RESERVADA       | Lexema: while           | Fila:  43 | Col:   5
Token: ID              | Lexema: y               | Fila:  43 | Col:  11
Token: OP_RELACIONAL   | Lexema: ==              | Fila:  43 | Col:  13
Token: ENTERO          | Lexema: 0               | Fila:  43 | Col:  16
Token: SIMBOLO         | Lexema: {               | Fila:  43 | Col:  18
Token: RESERVADA       | Lexema: cin             | Fila:  44 | Col:   9
Token: OP_RELACIONAL   | Lexema: >               | Fila:  44 | Col:  13
Token: OP_RELACIONAL   | Lexema: >               | Fila:  44 | Col:  14
Token: ID              | Lexema: mas             | Fila:  44 | Col:  16
Token: SIMBOLO         | Lexema: ;               | Fila:  44 | Col:  19
Token: RESERVADA       | Lexema: cout            | Fila:  45 | Col:   9
Token: OP_RELACIONAL   | Lexema: <               | Fila:  45 | Col:  14
Token: OP_RELACIONAL   | Lexema: <               | Fila:  45 | Col:  15
Token: ID              | Lexema: x               | Fila:  45 | Col:  17
Token: SIMBOLO         | Lexema: ;               | Fila:  45 | Col:  18
Token: SIMBOLO         | Lexema: }               | Fila:  46 | Col:   5
Token: SIMBOLO         | Lexema: }               | Fila:  47 | Col:   1
