REPORTE DE TOKENS
--------------------------------------------------
Token: RESERVADA       | Lexema: main            | Fila:   1 | Col:   1
Token: SIMBOLO         | Lexema: ;               | Fila:  23 | Col:  11
Token: ID              | Lexema: y               | Fila:  24 | Col:   8
Token: ASIGNACION      | Lexema: =               | Fila:  24 | Col:   9
Token: ID              | Lexema: y               | Fila:  24 | Col:  10
Token: OP_ARITMETICO   | Lexema: +               | Fila:  24 | Col:  11
Token: ENTERO          | Lexema: 1               | Fila:  24 | Col:  12
Token: SIMBOLO         | Lexema: ;               | Fila:  24 | Col:  13
Token: RESERVADA       | Lexema: end             | Fila:  25 | Col:   1
Token: SIMBOLO         | Lexema: ;               | Fila:  25 | Col:   4
Token: ID              | Lexema: a               | Fila:  26 | Col:   1
Token: OP_ARITMETICO   | Lexema: +               | Fila:  26 | Col:   2
Token: OP_ARITMETICO   | Lexema: +               | Fila:  26 | Col:   3
Token: SIMBOLO         | Lexema: ;               | Fila:  26 | Col:   4
Token: ID              | Lexema: c               | Fila:  27 | Col:   1
Token: OP_ARITMETICO   | Lexema: -               | Fila:  27 | Col:   2
Token: OP_ARITMETICO   | Lexema: -               | Fila:  27 | Col:   3
Token: SIMBOLO         | Lexema: ;               | Fila:  27 | Col:   4
Token: ID              | Lexema: x               | Fila:  28 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:  28 | Col:   2
Token: ENTERO          | Lexema: 3               | Fila:  28 | Col:   3
Token: OP_ARITMETICO   | Lexema: +               | Fila:  28 | Col:   4
Token: ENTERO          | Lexema: 4               | Fila:  28 | Col:   5
Token: SIMBOLO         | Lexema: ;               | Fila:  28 | Col:   6
Token: RESERVADA       | Lexema: do              | Fila:  29 | Col:   1
Token: ID              | Lexema: y               | Fila:  30 | Col:   4
Token: ASIGNACION      | Lexema: =               | Fila:  30 | Col:   5
Token: SIMBOLO         | Lexema: (               | Fila:  30 | Col:   6
Token: ID              | Lexema: y               | Fila:  30 | Col:   7
Token: OP_ARITMETICO   | Lexema: +               | Fila:  30 | Col:   8
Token: ENTERO          | Lexema: 1               | Fila:  30 | Col:   9
Token: SIMBOLO         | Lexema: )               | Fila:  30 | Col:  10
Token: OP_ARITMETICO   | Lexema: *               | Fila:  30 | Col:  11
Token: ENTERO          | Lexema: 2               | Fila:  30 | Col:  12
Token: OP_ARITMETICO   | Lexema: +               | Fila:  30 | Col:  13
Token: ENTERO          | Lexema: 1               | Fila:  30 | Col:  14
Token: SIMBOLO         | Lexema: ;               | Fila:  30 | Col:  15
Token: RESERVADA       | Lexema: while           | Fila:  31 | Col:   4
Token: SIMBOLO         | Lexema: (               | Fila:  31 | Col:   9
Token: ID              | Lexema: x               | Fila:  31 | Col:  10
Token: OP_RELACIONAL   | Lexema: >               | Fila:  31 | Col:  11
Token: ENTERO          | Lexema: 7               | Fila:  31 | Col:  12
Token: SIMBOLO         | Lexema: )               | Fila:  31 | Col:  13
Token: SIMBOLO         | Lexema: {               | Fila:  31 | Col:  14
Token: ID              | Lexema: x               | Fila:  31 | Col:  15
Token: ASIGNACION      | Lexema: =               | Fila:  31 | Col:  16
Token: ENTERO          | Lexema: 6               | Fila:  31 | Col:  17
Token: OP_ARITMETICO   | Lexema: +               | Fila:  31 | Col:  18
Token: ENTERO          | Lexema: 8               | Fila:  31 | Col:  19
Token: OP_ARITMETICO   | Lexema: /               | Fila:  31 | Col:  20
Token: ENTERO          | Lexema: 9               | Fila:  31 | Col:  21
Token: OP_ARITMETICO   | Lexema: *               | Fila:  31 | Col:  22
Token: ENTERO          | Lexema: 8               | Fila:  31 | Col:  23
Token: OP_ARITMETICO   | Lexema: /               | Fila:  31 | Col:  24
Token: ENTERO          | Lexema: 3               | Fila:  31 | Col:  25
Token: SIMBOLO         | Lexema: ;               | Fila:  31 | Col:  26
Token: RESERVADA       | Lexema: cin             | Fila:  32 | Col:   5
Token: ID              | Lexema: x               | Fila:  32 | Col:   9
Token: SIMBOLO         | Lexema: ;               | Fila:  32 | Col:  10
Token: ID              | Lexema: mas             | Fila:  33 | Col:   4
Token: ASIGNACION      | Lexema: =               | Fila:  33 | Col:   7
Token: ENTERO          | Lexema: 36              | Fila:  33 | Col:   8
Token: OP_ARITMETICO   | Lexema: /               | Fila:  33 | Col:  10
Token: ENTERO          | Lexema: 7               | Fila:  33 | Col:  11
Token: SIMBOLO         | Lexema: ;               | Fila:  33 | Col:  12
Token: SIMBOLO         | Lexema: }               | Fila:  34 | Col:   4
Token: SIMBOLO         | Lexema: ;               | Fila:  34 | Col:   5
Token: ID              | Lexema: until           | Fila:  36 | Col:   2
Token: SIMBOLO         | Lexema: (               | Fila:  36 | Col:   7
Token: ID              | Lexema: y               | Fila:  36 | Col:   8
Token: OP_RELACIONAL   | Lexema: ==              | Fila:  36 | Col:   9
Token: ENTERO          | Lexema: 5               | Fila:  36 | Col:  11
Token: SIMBOLO         | Lexema: )               | Fila:  36 | Col:  12
Token: SIMBOLO         | Lexema: ;               | Fila:  36 | Col:  13
Token: RESERVADA       | Lexema: while           | Fila:  37 | Col:   2
Token: SIMBOLO         | Lexema: (               | Fila:  37 | Col:   7
Token: ID              | Lexema: y               | Fila:  37 | Col:   8
Token: OP_RELACIONAL   | Lexema: ==              | Fila:  37 | Col:   9
Token: ENTERO          | Lexema: 0               | Fila:  37 | Col:  11
Token: SIMBOLO         | Lexema: )               | Fila:  37 | Col:  12
Token: SIMBOLO         | Lexema: {               | Fila:  37 | Col:  13
Token: RESERVADA       | Lexema: cin             | Fila:  38 | Col:   5
Token: ID              | Lexema: mas             | Fila:  38 | Col:   9
Token: SIMBOLO         | Lexema: ;               | Fila:  38 | Col:  12
Token: RESERVADA       | Lexema: cout            | Fila:  39 | Col:   5
Token: ID              | Lexema: x               | Fila:  39 | Col:  10
Token: OP_ARITMETICO   | Lexema: -               | Fila:  39 | Col:  11
Token: ENTERO          | Lexema: 9               | Fila:  39 | Col:  12
Token: OP_ARITMETICO   | Lexema: +               | Fila:  39 | Col:  13
Token: ENTERO          | Lexema: 3               | Fila:  39 | Col:  14
Token: SIMBOLO         | Lexema: ;               | Fila:  39 | Col:  15
Token: SIMBOLO         | Lexema: }               | Fila:  40 | Col:   1
Token: SIMBOLO         | Lexema: ;               | Fila:  40 | Col:   2
Token: SIMBOLO         | Lexema: }               | Fila:  41 | Col:   1
